mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur
1	1	0	0	0.0	0	0	Tempo	4/4	1	1	0								Adagiosostenuto	71.0			1.0	
1	1	7/2	7/2	0.0	7/8	7/8	Dynamic	4/4	1	1	0					p								
1	1	7/2	7/2	0.0	7/8	7/8	Tempo	4/4	1	1	0								𝅘𝅥=58	58.0	𝅘𝅥	58.0	0.0	
1	1	7/2	7/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8		1/8	1	0									
1	1	7/2	7/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8		1/8	1	1									
2	2	4	4	0.5	0	0	Chord	4/4	1	1	1/8		1/8	1	2									
2	2	9/2	9/2	0.5	1/8	1/8	Chord	4/4	1	1	1/8		1/8	1	3									
2	2	11/2	11/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8		1/8	1	4									
2	2	6	6	0.5	1/2	1/2	Chord	4/4	1	1	1/8		1/8	1	5									
2	2	13/2	13/2	0.5	5/8	5/8	Chord	4/4	1	1	1/8		1/8	1	6									
2	2	15/2	15/2	0.375	7/8	7/8	Chord	4/4	1	1	3/32		1/16	3/2	7									
2	2	63/8	63/8	0.125	31/32	31/32	Chord	4/4	1	1	1/32		1/32	1	8									
2	2	4	4	0.5	0	0	Chord	4/4	1	2	1/8		1/8	1	9									
2	2	9/2	9/2	0.5	1/8	1/8	Chord	4/4	1	2	1/8		1/8	1	10									
2	2	11/2	11/2	0.5	3/8	3/8	Chord	4/4	1	2	1/8		1/8	1	11									
2	2	6	6	0.5	1/2	1/2	Chord	4/4	1	2	1/8		1/8	1	12									
2	2	13/2	13/2	0.5	5/8	5/8	Chord	4/4	1	2	1/8		1/8	1	13									
2	2	4	4	1.0	0	0	Chord	4/4	2	1	1/4		1/4	1	14									
2	2	5	5	1.0	1/4	1/4	Chord	4/4	2	1	1/4		1/4	1	15									
2	2	6	6	1.0	1/2	1/2	Chord	4/4	2	1	1/4		1/4	1	16									
2	2	7	7	0.0	3/4	3/4	Dynamic	4/4	2	1	0					f								
2	2	7	7	1.0	3/4	3/4	Chord	4/4	2	1	1/4		1/4	1	17									
3	3	8	8	0.25	0	0	Chord	4/4	1	1	1/16		1/16	1	18									
3	3	33/4	33/4	0.25	1/16	1/16	Chord	4/4	1	1	1/16		1/16	1	19									
3	3	17/2	17/2	1.0	1/8	1/8	Chord	4/4	1	1	1/4		1/4	1	20									
3	3	19/2	19/2	0.375	3/8	3/8	Chord	4/4	1	1	3/32		1/16	3/2	21									
3	3	79/8	79/8	0.125	15/32	15/32	Chord	4/4	1	1	1/32		1/32	1	22									
3	3	23/2	23/2	0.0	7/8	7/8	Dynamic	4/4	1	1	0					p								
3	3	23/2	23/2	0.375	7/8	7/8	Chord	4/4	1	1	3/32		1/16	3/2	23									
3	3	95/8	95/8	0.125	31/32	31/32	Chord	4/4	1	1	1/32		1/32	1	24									
3	3	8	8	0.5	0	0	Chord	4/4	1	2	1/8		1/8	1	25									
3	3	17/2	17/2	0.5	1/8	1/8	Chord	4/4	1	2	1/8		1/8	1	26									
3	3	9	9	1.0	1/4	1/4	Chord	4/4	1	2	1/4		1/4	1	27									
3	3	10	10	0.16666666666666666	1/2	1/2	Chord	4/4	1	2	1/24		1/16	2/3	28									
3	3	61/6	61/6	0.16666666666666666	13/24	13/24	Chord	4/4	1	2	1/24		1/16	2/3	29									
3	3	31/3	31/3	0.16666666666666666	7/12	7/12	Chord	4/4	1	2	1/24		1/16	2/3	30									
3	3	21/2	21/2	0.5	5/8	5/8	Chord	4/4	1	2	1/8		1/8	1	31									
3	3	23/2	23/2	0.375	7/8	7/8	Chord	4/4	1	2	3/32		1/16	3/2	32									
3	3	95/8	95/8	0.125	31/32	31/32	Chord	4/4	1	2	1/32		1/32	1	33									
3	3	8	8	1.0	0	0	Chord	4/4	2	1	1/4		1/4	1	34									
