mc	mn	quarterbeats	duration_qb	mc_onset	mn_onset	timesig	staff	voice	volta	label	alt_label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	0	1.0	0	0	4/4	2	1		G.I{		G	I		I		I						{	M	0	0	0, 4, 1		0	0
1	1	1	1.0	1/4	1/4	4/4	2	1		V6		G	I		V6		V		6					M	0	0	5, 2, 1		1	5
1	1	2	3.0	1/2	1/2	4/4	2	1		vi		G	I		vi		vi							m	0	0	3, 0, 4		3	3
2	2	5	1.0	1/4	1/4	4/4	2	1		iii6		G	I		iii6		iii		6					m	0	0	1, 5, 4		4	1
2	2	6	4.0	1/2	1/2	4/4	2	1		IV		G	I		IV		IV							M	0	0	-1, 3, 0		-1	-1
3	3	10	1.0	1/2	1/2	4/4	2	1		V2(4)		G	I		V2(4)		V		2	4				Mm7	0	0	-1, 1, 0, 2		1	-1
3	3	11	0.5	3/4	3/4	4/4	2	1		V2		G	I		V2		V		2					Mm7	0	0	-1, 1, 5, 2		1	-1
3	3	23/2	0.5	7/8	7/8	4/4	2	1		I6		G	I		I6		I		6					M	0	0	4, 1, 0		0	4
4	4	12	1.0	0	0	4/4	2	1		viio6		G	I		viio6		vii	o	6					o	0	0	2, -1, 5		5	2
4	4	13	0.5	1/4	1/4	4/4	2	1		viio		G	I		viio		vii	o						o	0	0	5, 2, -1		5	5
4	4	27/2	0.5	3/8	3/8	4/4	2	1		I		G	I		I		I							M	0	0	0, 4, 1		0	0
4	4	14	1.5	1/2	1/2	4/4	2	1		V		G	I		V		V							M	0	0	1, 5, 2		1	1
4	4	31/2	0.5	7/8	7/8	4/4	2	1		I6		G	I		I6		I		6					M	0	0	4, 1, 0		0	4
5	5	16	1.0	0	0	4/4	2	1		viio6		G	I		viio6		vii	o	6					o	0	0	2, -1, 5		5	2
5	5	17	0.5	1/4	1/4	4/4	2	1		viio		G	I		viio		vii	o						o	0	0	5, 2, -1		5	5
5	5	35/2	0.5	3/8	3/8	4/4	2	1		I		G	I		I		I							M	0	0	0, 4, 1		0	0
5	5	18	1.5	1/2	1/2	4/4	2	1		viio6		G	I		viio6		vii	o	6					o	0	0	2, -1, 5		5	2
5	5	39/2	0.5	7/8	7/8	4/4	2	1		I6		G	I		I6		I		6					M	0	0	4, 1, 0		0	4
6	6	20	1.0	0	0	4/4	2	1		viio6		G	I		viio6		vii	o	6					o	0	0	2, -1, 5		5	2
6	6	21	0.5	1/4	1/4	4/4	2	1		viio		G	I		viio		vii	o						o	0	0	5, 2, -1		5	5
6	6	43/2	0.5	3/8	3/8	4/4	2	1		I		G	I		I		I							M	0	0	0, 4, 1		0	0
6	6	22	2.0	1/2	1/2	4/4	2	1		IV	ii6	G	I		IV		IV							M	0	0	-1, 3, 0		-1	-1
