mc	mn	quarterbeats	duration_qb	mc_onset	mn_onset	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
1	0	0	0.5	0	1/2	3/4	1	2	1/8		1/8	1		6	66	F#4	4	2
1	0	0	0.5	0	1/2	3/4	1	2	1/8		1/8	1		3	69	A4	4	2
1	0	0	0.5	0	1/2	3/4	1	1	1/8		1/8	1		2	74	D5	5	0
1	0	1/2	0.5	1/8	5/8	3/4	1	2	1/8		1/8	1		6	66	F#4	4	3
1	0	1/2	0.5	1/8	5/8	3/4	1	2	1/8		1/8	1		3	69	A4	4	3
1	0	1/2	0.5	1/8	5/8	3/4	1	1	1/8		1/8	1		2	74	D5	5	1
2	1	1	2.0	0	0	3/4	1	2	1/2		1/2	1		4	64	E4	4	8
2	1	1	2.0	0	0	3/4	1	2	1/2		1/2	1		1	67	G4	4	8
2	1	1	1.0	0	0	3/4	1	1	1/4		1/4	1		2	74	D5	5	4
2	1	2	1.0	1/4	1/4	3/4	1	1	1/4		1/4	1		7	73	C#5	5	5
2	1	3	0.5	1/2	1/2	3/4	1	2	1/8		1/8	1		2	62	D4	4	9
2	1	3	0.5	1/2	1/2	3/4	1	2	1/8		1/8	1		6	66	F#4	4	9
2	1	3	0.5	1/2	1/2	3/4	1	1	1/8		1/8	1		5	71	B4	4	6
2	1	7/2	0.5	5/8	5/8	3/4	1	2	1/8		1/8	1		2	62	D4	4	10
2	1	7/2	0.5	5/8	5/8	3/4	1	2	1/8		1/8	1		6	66	F#4	4	10
2	1	7/2	0.5	5/8	5/8	3/4	1	1	1/8		1/8	1		5	71	B4	4	7
3	2	4	2.0	0	0	3/4	1	2	1/2		1/2	1		7	61	C#4	4	15
3	2	4	2.0	0	0	3/4	1	2	1/2		1/2	1		4	64	E4	4	15
3	2	4	1.0	0	0	3/4	1	1	1/4		1/4	1		5	71	B4	4	11
3	2	5	1.0	1/4	1/4	3/4	1	1	1/4		1/4	1		3	69	A4	4	12
3	2	6	0.5	1/2	1/2	3/4	2	1	1/8		1/8	1		5	59	B3	3	16
3	2	6	0.5	1/2	1/2	3/4	2	1	1/8		1/8	1		2	62	D4	4	16
3	2	6	0.5	1/2	1/2	3/4	1	1	1/8		1/8	1		1	67	G4	4	13
3	2	13/2	0.5	5/8	5/8	3/4	2	1	1/8		1/8	1		5	59	B3	3	17
3	2	13/2	0.5	5/8	5/8	3/4	2	1	1/8		1/8	1		2	62	D4	4	17
3	2	13/2	0.5	5/8	5/8	3/4	1	1	1/8		1/8	1		1	67	G4	4	14
4	3	7	1.0	0	0	3/4	2	1	1/4		1/4	1		3	57	A3	3	24
4	3	7	1.0	0	0	3/4	2	1	1/4		1/4	1		7	61	C#4	4	24
4	3	7	0.5	0	0	3/4	1	1	1/8		1/8	1		1	67	G4	4	18
4	3	15/2	0.5	1/8	1/8	3/4	1	1	1/8		1/8	1		6	66	F#4	4	19
4	3	8	1.0	1/4	1/4	3/4	2	1	1/4		1/4	1		1	55	G3	3	25
4	3	8	1.0	1/4	1/4	3/4	2	1	1/4		1/4	1		5	59	B3	3	25
4	3	8	0.5	1/4	1/4	3/4	1	1	1/8		1/8	1		6	66	F#4	4	20
4	3	17/2	0.5	3/8	3/8	3/4	1	1	1/8		1/8	1		4	64	E4	4	21
4	3	9	1.0	1/2	1/2	3/4	2	1	1/4		1/4	1		6	54	F#3	3	26
4	3	9	1.0	1/2	1/2	3/4	2	1	1/4		1/4	1		3	57	A3	3	26
4	3	9	0.5	1/2	1/2	3/4	1	1	1/8		1/8	1		4	64	E4	4	22
4	3	19/2	0.5	5/8	5/8	3/4	1	1	1/8		1/8	1		2	62	D4	4	23
5	4	10	0.5	0	0	3/4	2	1	1/8		1/8	1		4	52	E3	3	37
5	4	10	0.5	0	0	3/4	2	1	1/8		1/8	1		1	55	G3	3	37
5	4	10	0.25	0	0	3/4	1	1	1/16		1/16	1		2	62	D4	4	27
5	4	41/4	0.25	1/16	1/16	3/4	1	1	1/16		1/16	1		7	61	C#4	4	28
